t=5,t=10,t=20
0,0,0
-4.02558e-219,-1.36345e-80,-3.95462e-48
-3.04827e-212,-3.94901e-79,-3.10386e-47
-1.67611e-205,-1.09707e-77,-2.43957e-46
-6.69236e-199,-2.92591e-76,-1.8901e-45
-1.94035e-192,-7.5046e-75,-1.44371e-44
-4.08515e-186,-1.85387e-73,-1.08704e-43
-6.2454e-180,-4.41697e-72,-8.06763e-43
-6.93327e-174,-1.01619e-70,-5.90087e-42
-5.5891e-168,-2.26007e-69,-4.25323e-41
-3.27168e-162,-4.86386e-68,-3.02052e-40
-1.39067e-156,-1.01378e-66,-2.11334e-39
-4.29242e-151,-2.04816e-65,-1.45645e-38
-9.62066e-146,-4.01374e-64,-9.88614e-38
-1.56578e-140,-7.63478e-63,-6.60792e-37
-1.85046e-135,-1.41044e-61,-4.34884e-36
-1.588e-130,-2.53206e-60,-2.81738e-35
-9.89561e-126,-4.41929e-59,-1.79654e-34
-4.47768e-121,-7.5024e-58,-1.12729e-33
-1.47122e-116,-1.23931e-56,-6.95963e-33
-3.51007e-112,-1.99278e-55,-4.22638e-32
-6.0808e-108,-3.12012e-54,-2.52416e-31
-7.64902e-104,-4.75832e-53,-1.48219e-30
-6.98622e-100,-7.06992e-52,-8.55545e-30
-4.63296e-96,-1.02366e-50,-4.85294e-29
-2.23069e-92,-1.44467e-49,-2.70443e-28
-7.79771e-89,-1.98757e-48,-1.48022e-27
-1.97888e-85,-2.6662e-47,-7.95441e-27
-3.64568e-82,-3.48758e-46,-4.19552e-26
-4.87559e-79,-4.44914e-45,-2.17106e-25
-4.73344e-76,-5.53561e-44,-1.10185e-24
-3.33654e-73,-6.71793e-43,-5.48152e-24
-1.70837e-70,-7.95215e-42,-2.67207e-23
-6.36067e-68,-9.18196e-41,-1.27543e-22
-1.72609e-65,-1.03412e-39,-5.95859e-22
-3.43002e-63,-1.13603e-38,-2.72219e-21
-5.03617e-61,-1.21722e-37,-1.21544e-20
-5.55189e-59,-1.27196e-36,-5.29779e-20
-4.71598e-57,-1.2962e-35,-2.25235e-19
-3.19878e-55,-1.28797e-34,-9.32601e-19
-1.80146e-53,-1.24776e-33,-3.75567e-18
-8.70222e-52,-1.17831e-32,-1.46782e-17
-3.68901e-50,-1.08453e-31,-5.55396e-17
-1.39606e-48,-9.72644e-31,-2.02752e-16
-4.78028e-47,-8.49831e-30,-7.10661e-16
-1.49584e-45,-7.23161e-29,-2.37505e-15
-4.31251e-44,-5.99192e-28,-7.47953e-15
-1.15292e-42,-4.83242e-27,-2.17614e-14
-2.87294e-41,-3.79227e-26,-5.59854e-14
-6.70241e-40,-2.89464e-25,-1.13137e-13
-1.46898e-38,-2.14818e-24,-8.1336e-14
-3.0339e-37,-1.5493e-23,8.18371e-13
-5.91918e-36,-1.0853e-22,6.46301e-12
-1.09317e-34,-7.38076e-22,3.33191e-11
-1.91457e-33,-4.86947e-21,1.45111e-10
-3.18426e-32,-3.11493e-20,5.70621e-10
-5.03576e-31,-1.93023e-19,2.08409e-09
-7.57956e-30,-1.15788e-18,7.16685e-09
-1.08668e-28,-6.71633e-18,2.33772e-08
-1.48497e-27,-3.76356e-17,7.26753e-08
-1.93491e-26,-2.03463e-16,2.15736e-07
-2.40494e-25,-1.0597e-15,6.12751e-07
-2.85147e-24,-5.30843e-15,1.66466e-06
-3.22558e-23,-2.5521e-14,4.32838e-06
-3.4804e-22,-1.17486e-13,1.07565e-05
-3.5813e-21,-5.16063e-13,2.55332e-05
-3.5129e-20,-2.15493e-12,5.77792e-05
-3.28272e-19,-8.50058e-12,0.00012438
-2.92069e-18,-3.14299e-11,0.000254081
-2.47149e-17,-1.07416e-10,0.000490482
-1.98729e-16,-3.31391e-10,0.000891546
-1.51616e-15,-8.76503e-10,0.00151503
-1.09589e-14,-1.69616e-09,0.00238999
-7.49032e-14,-3.53063e-10,0.00345554
-4.82929e-13,1.86173e-08,0.0044944
-2.92966e-12,1.25626e-07,0.00509209
-1.66569e-11,5.92734e-07,0.00464701
-8.84023e-11,2.34232e-06,0.00264962
-4.35189e-10,8.18336e-06,-0.00105941
-1.97099e-09,2.58339e-05,-0.00576894
-8.11517e-09,7.42294e-05,-0.00973762
-2.97257e-08,0.000195099,-0.0110226
-9.33106e-08,0.000467443,-0.00804373
-2.26607e-07,0.00101796,-0.00159489
-2.62246e-07,0.001999,0.00480162
1.20519e-06,0.00348658,0.00780785
1.08953e-05,0.00531323,0.00510407
5.27795e-05,0.00677367,-0.00147917
0.000196813,0.00663115,-0.00519363
0.000606526,0.00369788,-0.0035637
0.00156375,-0.00247014,0.000233339
0.00340298,-0.00953632,0.00378134
0.00609496,-0.0129422,0.00326884
0.00845032,-0.0106521,-0.00244234
0.00843713,-0.0028493,-0.00416538
0.00386616,0.00631173,0.00195311
-0.00654961,0.00614829,0.00370887
-0.0150768,-0.00281313,-0.00275012
-0.00793275,-0.00299091,-0.00311661
0.00352343,0.00596163,0.00457493
-0.0130214,0.00104139,0.00327039
-0.0422053,-0.0149922,-0.00715105
-0.00678795,-0.00676016,-0.00520511
0.135572,0.0279812,0.00983675
0.323239,0.035725,0.0104046
0.449186,-0.0185766,-0.010357
0.458361,-0.089333,-0.0198269
0.373405,-0.0908322,0.003238
0.25359,0.0162936,0.0297923
0.147582,0.191301,0.018438
0.0750625,0.351404,-0.0249783
0.0338525,0.432906,-0.0494024
0.0136913,0.422931,-0.0178247
0.00501184,0.349227,0.0473962
0.00167308,0.252004,0.0825852
0.000512579,0.162271,0.0443835
0.000144908,0.0945969,-0.0489336
3.79768e-05,0.0504556,-0.132693
9.26423e-06,0.0248269,-0.144745
2.11106e-06,0.011344,-0.0651633
4.50755e-07,0.00483948,0.0774441
9.04347e-08,0.00193639,0.229394
1.70897e-08,0.000729513,0.342479
3.04854e-09,0.000259646,0.392613
5.14331e-10,8.75613e-05,0.381848
8.22117e-11,2.80514e-05,0.328847
1.24692e-11,8.55684e-06,0.256732
1.79696e-12,2.49049e-06,0.184429
2.46361e-13,6.92926e-07,0.123175
3.21658e-14,1.84607e-07,0.0770684
4.00328e-15,4.71677e-08,0.0454408
4.75324e-16,1.1574e-08,0.0253674
5.38786e-17,2.73103e-09,0.0134602
5.83386e-18,6.20427e-10,0.00681039
6.03688e-19,1.35847e-10,0.00329494
5.97249e-20,2.86977e-11,0.00152797
5.65067e-21,5.85446e-12,0.00068059
5.11358e-22,1.15438e-12,0.00029172
4.42653e-23,2.20182e-13,0.000120524
3.66522e-24,4.06551e-14,4.80683e-05
2.90254e-25,7.27197e-15,1.85311e-05
2.19779e-26,1.26089e-15,6.91416e-06
1.59063e-27,2.12058e-16,2.49952e-06
1.09979e-28,3.46124e-17,8.76399e-07
7.26003e-30,5.48581e-18,2.98324e-07
4.57208e-31,8.44685e-19,9.8673e-08
2.74425e-32,1.26415e-19,3.17386e-08
1.56813e-33,1.83965e-20,9.93543e-09
8.51917e-35,2.60426e-21,3.02905e-09
4.39327e-36,3.58762e-22,8.99984e-10
2.14651e-37,4.81123e-23,2.60763e-10
9.91465e-39,6.28307e-24,7.37213e-11
4.31808e-40,7.99257e-25,2.03479e-11
1.76776e-41,9.90649e-26,5.48597e-12
