t=5,t=10,t=20
0,0,0
5.08019e-213,-3.12011e-78,-5.50252e-35
2.79332e-206,1.5113e-76,3.17008e-34
1.11528e-199,-4.63519e-75,-1.73168e-33
3.23349e-193,5.91673e-74,8.54704e-33
6.80732e-187,2.9525e-72,-3.61391e-32
1.04063e-180,-2.51716e-70,1.09766e-31
1.15514e-174,1.09364e-68,1.70304e-32
9.31066e-169,-3.34417e-67,-3.94425e-30
5.44917e-163,7.15608e-66,4.3205e-29
2.31566e-157,-7.1486e-65,-3.45306e-28
7.14501e-152,-2.18131e-63,2.36914e-27
1.60066e-146,1.5314e-61,-1.4676e-26
2.60339e-141,-5.42463e-60,8.38395e-26
3.07395e-136,1.41405e-58,-4.45911e-25
2.63467e-131,-2.86299e-57,2.21519e-24
1.63898e-126,4.24571e-56,-1.02637e-23
7.39872e-122,-2.95535e-55,4.40584e-23
2.42307e-117,-7.26709e-54,-1.72635e-22
5.7551e-113,3.74613e-52,5.97679e-22
9.90845e-109,-1.01731e-50,-1.67857e-21
1.23576e-104,2.09559e-49,2.60221e-21
1.11541e-100,-3.50098e-48,9.78006e-21
7.27689e-97,4.70837e-47,-1.26333e-19
3.42513e-93,-4.60569e-46,8.37861e-19
1.16016e-89,1.53792e-45,-4.44452e-18
2.81761e-86,6.26098e-44,2.06339e-17
4.88066e-83,-1.98039e-42,-8.65476e-17
5.98321e-80,3.82698e-41,3.31978e-16
5.13005e-77,-5.82087e-40,-1.16668e-15
3.01915e-74,7.36466e-39,3.73078e-15
1.18099e-71,-7.74813e-38,-1.06465e-14
2.88317e-69,6.39796e-37,2.5845e-14
3.73818e-67,-3.15032e-36,-4.5901e-14
8.87961e-66,-1.58035e-35,1.12007e-14
-3.28391e-63,6.84049e-34,3.91293e-13
-1.94724e-61,-1.14029e-32,-2.38872e-12
2.06262e-59,1.41677e-31,1.00251e-11
9.25247e-58,-1.45353e-30,-3.48613e-11
-1.14347e-55,1.25918e-29,1.05519e-10
-1.59225e-55,-9.03623e-29,-2.81308e-10
3.6644e-52,4.8941e-28,6.53637e-10
-1.36357e-50,-1.15473e-27,-1.26882e-09
-2.60507e-49,-1.51779e-26,1.78579e-09
3.60294e-47,2.90341e-25,-4.70208e-10
-1.0644e-45,-3.16867e-24,-8.07548e-09
-5.28619e-45,2.69914e-23,3.67564e-08
1.42434e-42,-1.91438e-22,-1.09699e-07
-4.91658e-41,1.13671e-21,2.58381e-07
6.07996e-40,-5.40828e-21,-4.92117e-07
1.42937e-38,1.70476e-20,7.14455e-07
-8.65668e-37,1.14156e-20,-5.68038e-07
2.00911e-35,-7.12147e-19,-7.33813e-07
-2.04738e-34,6.98217e-18,4.34596e-06
-2.37414e-33,-4.80622e-17,-1.10081e-05
1.40431e-31,2.65424e-16,1.90229e-05
-2.94238e-30,-1.2007e-15,-2.13086e-05
3.4136e-29,4.26428e-15,4.12372e-06
-8.19144e-29,-9.62223e-15,4.69117e-05
-5.59358e-27,-8.7482e-15,-0.000127899
1.3451e-25,2.48499e-13,0.000189091
-1.75181e-24,-1.69351e-12,-0.00012568
1.30561e-23,8.0548e-12,-0.000165007
-1.15088e-24,-2.97182e-11,0.000634372
-1.52133e-21,8.33044e-11,-0.000924371
2.44774e-20,-1.4403e-10,0.000438861
-2.28451e-19,-1.0685e-10,0.001115
1.23581e-18,2.11145e-09,-0.00289418
1.36675e-19,-1.01883e-08,0.00274095
-8.20294e-17,3.26937e-08,0.00114931
9.66797e-16,-7.36353e-08,-0.00705205
-6.59418e-15,9.03677e-08,0.00845319
2.5182e-14,1.13004e-07,0.000818169
1.82874e-14,-1.00906e-06,-0.0163731
