, x=0.00, x=0.10, x=0.20, x=0.30, x=0.40, x=0.50, x=0.60, x=0.70, x=0.80, x=0.90, x=1.00, 
t=0.10, 0, 21.5514, 3.76722, -3.68093, -3.40132, -2.67234, -3.40132, -3.68093, 3.76722, 21.5514, -5.68434e-14, 
t=0.20, 0, 12.9166, 8.71135, 0.756963, -3.63461, -4.74288, -3.63461, 0.756963, 8.71135, 12.9166, -5.68434e-14, 
t=0.30, 0, 236.665, 183.061, 144.988, 123.355, 116.491, 123.355, 144.988, 183.061, 236.665, 0, 
t=0.40, 0, 4.84595, 5.82633, 3.35297, 0.251717, -1.06738, 0.251717, 3.35297, 5.82633, 4.84595, 0, 
t=0.50, 0, 3.29955, 4.49523, 3.46045, 1.7082, 0.898726, 1.7082, 3.46045, 4.49523, 3.29955, 0, 
