, x=0.00, x=0.10, x=0.20, x=0.30, x=0.40, x=0.50, x=0.60, x=0.70, x=0.80, x=0.90, x=1.00, 
t=0.10, 0, 2.92331, 0.337468, -1.19088, -0.757973, -0.419849, -0.757973, -1.19088, 0.337468, 2.92331, -5.68434e-14, 
t=0.20, 0, 1.36359, 1.11829, -0.0624044, -0.881569, -1.10029, -0.881569, -0.0624044, 1.11829, 1.36359, -5.68434e-14, 
t=0.30, 0, 0.763933, 0.830575, 0.2134, -0.514617, -0.819863, -0.514617, 0.2134, 0.830575, 0.763933, 0, 
t=0.40, 0, 0.456213, 0.553058, 0.24379, -0.188518, -0.384839, -0.188518, 0.24379, 0.553058, 0.456213, 0, 
t=0.50, 0, 0.288694, 0.385764, 0.255427, 0.0405061, -0.0611721, 0.0405061, 0.255427, 0.385764, 0.288694, 0, 
