, x=0.00, x=0.10, x=0.20, x=0.30, x=0.40, x=0.50, x=0.60, x=0.70, x=0.80, x=0.90, x=1.00, 
t=0.10, 0, 6.80812, 1.22052, -1.85391, -1.35034, -0.852009, -1.35034, -1.85391, 1.22052, 6.80812, -5.68434e-14, 
t=0.20, 0, 3.25501, 2.70067, 0.191974, -1.47755, -1.9208, -1.47755, 0.191974, 2.70067, 3.25501, -5.68434e-14, 
t=0.30, 0, 236.665, 183.061, 144.988, 123.355, 116.491, 123.355, 144.988, 183.061, 236.665, 0, 
t=0.40, 0, 1.12152, 1.42157, 0.808885, -0.082385, -0.487475, -0.082385, 0.808885, 1.42157, 1.12152, 0, 
t=0.50, 0, 0.738044, 1.0344, 0.805442, 0.368491, 0.157551, 0.368491, 0.805442, 1.0344, 0.738044, 0, 
