, x=0.00, x=0.10, x=0.20, x=0.30, x=0.40, x=0.50, x=0.60, x=0.70, x=0.80, x=0.90, x=1.00, 
t=0.10, 0, 12.5617, 2.27396, -2.66502, -2.16875, -1.52992, -2.16875, -2.66502, 2.27396, 12.5617, -5.68434e-14, 
t=0.20, 0, 6.49355, 5.0239, 0.461443, -2.32953, -3.05043, -2.32953, 0.461443, 5.0239, 6.49355, -5.68434e-14, 
t=0.30, 0, 236.665, 183.061, 144.988, 123.355, 116.491, 123.355, 144.988, 183.061, 236.665, 0, 
t=0.40, 0, 2.29256, 2.89245, 1.71424, 0.0567054, -0.681643, 0.0567054, 1.71424, 2.89245, 2.29256, 0, 
t=0.50, 0, 1.53627, 2.15669, 1.71375, 0.864487, 0.457364, 0.864487, 1.71375, 2.15669, 1.53627, 0, 
