analytical,simpleexplicit
0,0
0.000404668,0.000402885
0.000812686,0.00081248
0.00122742,0.00122207
0.00165227,0.00165191
0.00209066,0.00208175
0.00254609,0.0025457
0.00302211,0.00300965
0.00352238,0.00352214
0.00405064,0.00403463
0.00461074,0.00461087
0.00520665,0.00518711
0.00584249,0.0058433
0.00652251,0.00649948
0.00725114,0.00725299
0.00803298,0.0080065
0.00887278,0.0088761
0.00977554,0.00974569
0.0107464,0.0107517
0.0117908,0.0117577
0.0129143,0.012922
0.0141227,0.0140864
0.0154221,0.0154331
0.0168189,0.0167797
0.0183196,0.0183343
0.019931,0.019889
0.0216602,0.0216795
0.0235145,0.02347
0.0255015,0.0255262
0.0276291,0.0275824
0.0299053,0.0299362
0.0323385,0.0322899
0.0349374,0.0349753
0.0377107,0.0376606
0.0406675,0.0407133
0.0438172,0.0437661
0.0471692,0.0472238
0.0507333,0.0506816
0.0545193,0.0545836
0.0585374,0.0584857
0.0627977,0.0628726
0.0673106,0.0672594
0.0720866,0.0721727
0.0771361,0.0770861
0.0824699,0.0825681
0.0880985,0.0880501
0.0940325,0.0941433
0.100283,0.100236
0.106859,0.106983
0.113773,0.11373
0.121034,0.121171
0.128653,0.128613
0.136639,0.136789
0.145002,0.144966
0.153751,0.153915
0.162896,0.162865
0.172446,0.172623
0.182408,0.182381
0.192791,0.19298
0.203601,0.203579
0.214846,0.215047
0.226532,0.226515
0.238665,0.238876
0.251248,0.251236
0.264288,0.264508
0.277787,0.27778
0.291748,0.291975
0.306172,0.30617
0.321062,0.321295
0.336417,0.33642
0.352236,0.352473
0.368518,0.368526
0.385261,0.385499
0.402461,0.402472
0.420113,0.420349
0.438211,0.438226
0.45675,0.456983
0.475722,0.47574
0.495118,0.495344
0.514929,0.514948
0.535143,0.53536
0.555751,0.555771
0.576738,0.576942
0.598091,0.598112
0.619796,0.619986
0.641838,0.641859
0.6642,0.664372
0.686865,0.686885
0.709815,0.709967
0.733032,0.73305
0.756495,0.756625
0.780185,0.780201
0.804081,0.804187
0.828161,0.828174
0.852404,0.852485
0.876787,0.876797
0.901288,0.901343
0.925883,0.925889
0.950549,0.950577
0.975263,0.975265
1,1
