analytical,simpleexplicit
0,0
2.06032e-10,3.85787e-11
5.5728e-10,1.16844e-10
1.28997e-09,3.09572e-10
2.87197e-09,7.87834e-10
6.26566e-09,1.94834e-09
1.34394e-08,4.69207e-09
2.8359e-08,1.10133e-08
5.88776e-08,2.52129e-08
1.20275e-07,5.63311e-08
2.41756e-07,1.22899e-07
4.78152e-07,2.61977e-07
9.30573e-07,5.45899e-07
1.78214e-06,1.11252e-06
3.35852e-06,2.21845e-06
6.2285e-06,4.33035e-06
1.13674e-05,8.27766e-06
2.04169e-05,1.55014e-05
3.60902e-05,2.84496e-05
6.27873e-05,5.11888e-05
0.000107511,9.03259e-05
0.000181197,0.000156361
0.000300598,0.000265617
0.000490879,0.000442919
0.000789113,0.000725198
0.00124883,0.0011662
0.00194577,0.0018424
0.00298491,0.00286028
0.0045087,0.00436465
0.00670628,0.00654812
0.00982327,0.00966079
0.0141714,0.0140198
0.0201368,0.0200171
0.0281858,0.0281253
0.0388671,0.038898
0.0528075,0.0529654
0.0707011,0.0710222
0.09329,0.0938073
0.121335,0.122074
0.15558,0.156555
0.196706,0.197912
0.245278,0.246694
0.3017,0.303281
0.366157,0.367839
0.438578,0.44028
0.518605,0.520232
0.605577,0.607031
0.698535,0.699723
0.796253,0.797095
0.897279,0.897715
1,1
