analytical,simpleexplicit
0,0
0.00586112,-2625.59
0.0117691,5249.61
0.0177707,-7870.26
0.0239128,10485.7
0.0302417,-13093.4
0.036804,15690.8
0.0436456,-18274.3
0.0508124,20840.2
0.0583496,-23383.2
0.066302,25898.4
0.0747137,-28378.7
0.0836282,30817.5
0.0930879,-33205.8
0.103134,35535.3
0.113808,-37795.2
0.125147,39975.6
0.13719,-42064.1
0.149971,44049.3
0.163526,-45917.4
0.177884,47656.3
0.193076,-49251.2
0.209127,50689.6
0.226062,-51956.4
0.243902,53039.6
0.262663,-53924.1
0.28236,54599.3
0.303002,-55051.1
0.324598,55270.9
0.347148,-55246.2
0.370652,54971.3
0.395103,-54436.1
0.420491,53638.4
0.446801,-52571.2
0.474014,51236.4
0.502106,-49630.6
0.531049,47760.2
0.560808,-45625.7
0.591349,43238.5
0.622628,-40602.9
0.6546,37735.1
0.687217,-34643.4
0.720424,31348.7
0.754165,-27862.9
0.788381,24211
0.82301,-20407.8
0.857985,16482.2
0.893241,-12450.9
0.928709,8345.6
0.964319,-4184.47
1,1
