analytical,simpleexplicit
0,0
1.54839e-10,-2.71774e-13
4.22127e-10,4.96044e-11
9.87027e-10,-6.85292e-13
2.22115e-09,4.40645e-10
4.89795e-09,1.79934e-11
1.0617e-08,3.27073e-09
2.26353e-08,3.15479e-10
4.74701e-08,2.08428e-08
9.79306e-08,3.1917e-09
1.98743e-07,1.1583e-07
3.96778e-07,2.44265e-08
7.79288e-07,5.68295e-07
1.50575e-06,1.53269e-07
2.86234e-06,2.48621e-06
5.35323e-06,8.19295e-07
9.85032e-06,9.77884e-06
1.78335e-05,3.8166e-06
3.1768e-05,3.48205e-05
5.56832e-05,1.57323e-05
9.60409e-05,0.000112918
0.000163006,5.80252e-05
0.000272261,0.000335214
0.000447527,0.000193137
0.000723985,0.000915175
0.00115276,0.000584128
0.00180663,0.00230725
0.0027871,0.00161437
0.00423267,0.00539163
0.00632829,0.00409663
0.00931546,0.0117189
0.0135022,0.00958474
0.0192719,0.0237683
0.0270901,0.020752
0.0375068,0.0451231
0.0511533,0.0417169
0.0687318,0.0804223
0.0909963,0.0781054
0.118724,0.134955
0.152677,0.136599
0.193557,0.213835
0.241955,0.223807
0.298293,0.320841
0.362775,0.344535
0.435346,0.457166
0.515651,0.499868
0.603028,0.620468
0.696508,0.685751
0.794844,0.804565
0.896556,0.892735
1,1
