analytical,thomas
0,0.0552222
0.0058658,0.0554698
0.0117785,0.0563363
0.0177848,0.0578251
0.0239314,0.0599416
0.030265,0.0626935
0.0368319,0.0660906
0.0436781,0.0701447
0.0508494,0.0748695
0.0583911,0.0802804
0.0663479,0.0863944
0.074764,0.0932297
0.0836827,0.100806
0.0931466,0.109144
0.103197,0.118264
0.113874,0.128187
0.125218,0.138937
0.137264,0.150533
0.150049,0.162997
0.163606,0.176349
0.177967,0.190608
0.193162,0.205792
0.209216,0.221917
0.226153,0.238997
0.243994,0.257044
0.262756,0.276066
0.282454,0.296071
0.303098,0.317061
0.324693,0.339036
0.347244,0.361992
0.370747,0.385922
0.395197,0.410813
0.420584,0.436652
0.446892,0.463416
0.474102,0.491084
0.502191,0.519625
0.53113,0.549009
0.560886,0.579197
0.591423,0.610149
0.622697,0.64182
0.654665,0.674161
0.687276,0.70712
0.720477,0.740641
0.754213,0.774664
0.788423,0.809128
0.823044,0.843968
0.858013,0.879117
0.893263,0.914507
0.928723,0.950069
0.964326,0.985731
1,1
