analytical,simpleexplicit
0,0
2.06032e-10,-1.18548e-10
5.5728e-10,1.25104e-09
1.28997e-09,-9.71315e-09
2.87197e-09,6.35087e-08
6.26566e-09,-3.55473e-07
1.34394e-08,1.77258e-06
2.8359e-08,-7.96e-06
5.88776e-08,3.27637e-05
1.20275e-07,-0.000124505
2.41756e-07,0.000441045
4.78152e-07,-0.00146377
9.30573e-07,0.00457893
1.78214e-06,-0.0135501
3.35852e-06,0.0380862
6.2285e-06,-0.10196
1.13674e-05,0.26073
2.04169e-05,-0.638203
3.60902e-05,1.49856
6.27873e-05,-3.38102
0.000107511,7.34173
0.000181197,-15.3633
0.000300598,31.0219
0.000490879,-60.5051
0.000789113,114.103
0.00124883,-208.223
0.00194577,367.989
0.00298491,-630.202
0.0045087,1046.47
0.00670628,-1685.68
0.00982327,2635.16
0.0141714,-3999.01
0.0201368,5892.85
0.0281858,-8432.9
0.0388671,11720.3
0.0528075,-15818.9
0.0707011,20730.8
0.09329,-26369.5
0.121335,32539.9
0.15558,-38923.5
0.196706,45084.7
0.245278,-50487.7
0.3017,54544.4
0.366157,-56667.3
0.438578,56351
0.518605,-53236.3
0.605577,47188.1
0.698535,-38324.2
0.796253,27045.3
0.897279,-13990.3
1,1
