analytical,thomas
0,7.04225e-09
2.06032e-10,8.98369e-09
5.5728e-10,1.44238e-08
1.28997e-09,2.53186e-08
2.87197e-09,4.55154e-08
6.26566e-09,8.19788e-08
1.34394e-08,1.4695e-07
2.8359e-08,2.61621e-07
5.88776e-08,4.62283e-07
1.20275e-07,8.10467e-07
2.41756e-07,1.4095e-06
4.78152e-07,2.43117e-06
9.30573e-07,4.15825e-06
1.78214e-06,7.05137e-06
3.35852e-06,1.18529e-05
6.2285e-06,1.97463e-05
1.13674e-05,3.25969e-05
2.04169e-05,5.33104e-05
3.60902e-05,8.63596e-05
6.27873e-05,0.000138544
0.000107511,0.000220069
0.000181197,0.000346048
0.000300598,0.000538562
0.000490879,0.000829412
0.000789113,0.00126373
0.00124883,0.00190458
0.00194577,0.00283871
0.00298491,0.00418346
0.0045087,0.00609483
0.00670628,0.00877641
0.00982327,0.0124889
0.0141714,0.0175594
0.0201368,0.0243893
0.0281858,0.0334604
0.0388671,0.0453359
0.0528075,0.0606568
0.0707011,0.0801301
0.09329,0.104509
0.121335,0.134562
0.15558,0.171035
0.196706,0.214602
0.245278,0.265812
0.3017,0.325036
0.366157,0.392407
0.438578,0.467784
0.518605,0.550713
0.605577,0.640424
0.698535,0.735835
0.796253,0.835588
0.897279,0.938109
1,1
