analytical,thomas
0,0.00465149
0.000812686,0.00472283
0.00165227,0.00497301
0.00254609,0.00540797
0.00352238,0.00603793
0.00461074,0.00687743
0.00584249,0.00794542
0.00725114,0.00926532
0.00887278,0.0108651
0.0107464,0.0127775
0.0129143,0.0150397
0.0154221,0.0176942
0.0183196,0.0207877
0.0216602,0.0243723
0.0255015,0.0285046
0.0299053,0.033246
0.0349374,0.0386621
0.0406675,0.0448233
0.0471692,0.0518034
0.0545193,0.0596799
0.0627977,0.0685331
0.0720866,0.0784456
0.0824699,0.0895014
0.0940325,0.101785
0.106859,0.115381
0.121034,0.130372
0.136639,0.146839
0.153751,0.164856
0.172446,0.184496
0.192791,0.205822
0.214846,0.228892
0.238665,0.253751
0.264288,0.280437
0.291748,0.308974
0.321062,0.339374
0.352236,0.371634
0.385261,0.405737
0.420113,0.441649
0.45675,0.479321
0.495118,0.518688
0.535143,0.559667
0.576738,0.602161
0.619796,0.646056
0.6642,0.691224
0.709815,0.737522
0.756495,0.784795
0.804081,0.832879
0.852404,0.881599
0.901288,0.930772
0.950549,0.980212
1,1
