analytical,thomas
0,0.0043966
0.00080038,0.00448348
0.00162745,0.00474143
0.00250834,0.00517667
0.00347109,0.00579959
0.00454509,0.00662482
0.00576148,0.00767125
0.0071536,0.0089622
0.00875734,0.0105254
0.0106116,0.0123933
0.0127584,0.014603
0.0152435,0.0171962
0.0181164,0.0202196
0.0214305,0.0237246
0.0252434,0.0277676
0.0296169,0.0324094
0.0346168,0.0377157
0.0403131,0.0437561
0.0467793,0.0506045
0.0540926,0.0583383
0.0623331,0.0670378
0.0715833,0.0767858
0.0819274,0.0876667
0.0934509,0.0997657
0.106239,0.113168
0.120376,0.127956
0.135944,0.144212
0.153023,0.162013
0.171686,0.181432
0.192003,0.202535
0.214034,0.225379
0.237833,0.250013
0.263442,0.276477
0.290892,0.304797
0.320204,0.334986
0.351383,0.367044
0.384419,0.400957
0.419289,0.436692
0.455952,0.474202
0.494353,0.513425
0.534419,0.554279
0.576062,0.596669
0.619176,0.640481
0.663641,0.685589
0.709324,0.731851
0.756077,0.779112
0.80374,0.827208
0.852145,0.875964
0.901114,0.925196
0.950461,0.974718
1,1
