analytical,simpleexplicit
0,0
0.00080198,-8.42985e+25
0.00163067,1.72466e+26
0.00251325,-2.68434e+26
0.00347776,3.76258e+26
0.00455363,-5.00167e+26
0.00577202,6.44609e+26
0.00716628,-8.14282e+26
0.00877236,1.01414e+27
0.0106291,-1.24939e+27
0.0127787,1.52547e+27
0.0152668,-1.84796e+27
0.0181428,2.22253e+27
0.0214604,-2.65479e+27
0.025277,3.15016e+27
0.0296545,-3.71368e+27
0.0346586,4.34977e+27
0.0403593,-5.06203e+27
0.0468301,5.85292e+27
0.0541483,-6.72354e+27
0.0623937,7.67326e+27
0.0716489,-8.69951e+27
0.0819982,9.79746e+27
0.0935267,-1.09598e+28
0.10632,1.21765e+28
0.120462,-1.34349e+28
0.136035,1.47192e+28
0.153118,-1.6011e+28
0.171785,1.7289e+28
0.192106,-1.85295e+28
0.21414,1.9707e+28
0.237941,-2.07939e+28
0.263552,2.17618e+28
0.291004,-2.25821e+28
0.320316,2.32264e+28
0.351494,-2.36676e+28
0.384529,2.38807e+28
0.419396,-2.3844e+28
0.456056,2.35393e+28
0.494453,-2.29531e+28
0.534514,2.20774e+28
0.57615,-2.09099e+28
0.619257,1.94548e+28
0.663714,-1.77226e+28
0.709388,1.57303e+28
0.756131,-1.35015e+28
0.803785,1.10653e+28
0.852179,-8.45641e+27
0.901136,5.71377e+27
0.950473,-2.87998e+27
1,1
