analytical,thomas
0,0.053822
0.00586112,0.054132
0.0117691,0.0550501
0.0177707,0.0565798
0.0239128,0.058727
0.0302417,0.0614995
0.036804,0.0649076
0.0436456,0.0689632
0.0508124,0.0736804
0.0583496,0.0790751
0.066302,0.0851644
0.0747137,0.091967
0.0836282,0.0995029
0.0930879,0.107793
0.103134,0.116858
0.113808,0.126721
0.125147,0.137403
0.13719,0.148926
0.149971,0.161311
0.163526,0.17458
0.177884,0.188752
0.193076,0.203845
0.209127,0.219875
0.226062,0.236858
0.243902,0.254805
0.262663,0.273725
0.28236,0.293627
0.303002,0.314513
0.324598,0.336385
0.347148,0.359237
0.370652,0.383065
0.395103,0.407856
0.420491,0.433596
0.446801,0.460265
0.474014,0.48784
0.502106,0.516293
0.531049,0.545592
0.560808,0.575701
0.591349,0.606579
0.622628,0.638182
0.6546,0.670462
0.687217,0.703365
0.720424,0.736837
0.754165,0.770819
0.788381,0.805249
0.82301,0.840063
0.857985,0.875194
0.893241,0.910574
0.928709,0.946133
0.964319,0.9818
1,1
