analytical,simpleexplicit
0,0
0.000812686,0.000808062
0.00165227,0.00164311
0.00254609,0.00253259
0.00352238,0.00350484
0.00461074,0.00458955
0.00584249,0.00581816
0.00725114,0.0072243
0.00887278,0.00884419
0.0107464,0.0107169
0.0129143,0.012885
0.0154221,0.0153942
0.0183196,0.0182943
0.0216602,0.0216391
0.0255015,0.0254861
0.0299053,0.0298974
0.0349374,0.0349387
0.0406675,0.04068
0.0471692,0.0471949
0.0545193,0.0545602
0.0627977,0.0628558
0.0720866,0.0721637
0.0824699,0.0825679
0.0940325,0.094153
0.106859,0.107004
0.121034,0.121204
0.136639,0.136834
0.153751,0.153973
0.172446,0.172694
0.192791,0.193064
0.214846,0.215144
0.238665,0.238985
0.264288,0.264629
0.291748,0.292107
0.321062,0.321436
0.352236,0.352621
0.385261,0.385653
0.420113,0.420507
0.45675,0.457142
0.495118,0.495501
0.535143,0.535514
0.576738,0.577089
0.619796,0.620125
0.6642,0.6645
0.709815,0.710082
0.756495,0.756724
0.804081,0.804269
0.852404,0.852548
0.901288,0.901385
0.950549,0.950598
1,1
