analytical,simpleexplicit
0,0
0.0058658,0.00587109
0.0117785,0.0117891
0.0177848,0.0178008
0.0239314,0.0239531
0.030265,0.0302925
0.0368319,0.0368654
0.0436781,0.0437178
0.0508494,0.0508957
0.0583911,0.0584442
0.0663479,0.0664082
0.074764,0.0748318
0.0836827,0.0837583
0.0931466,0.0932303
0.103197,0.103289
0.113874,0.113975
0.125218,0.125327
0.137264,0.137382
0.150049,0.150176
0.163606,0.163742
0.177967,0.178113
0.193162,0.193316
0.209216,0.209378
0.226153,0.226323
0.243994,0.244172
0.262756,0.262941
0.282454,0.282645
0.303098,0.303294
0.324693,0.324894
0.347244,0.347448
0.370747,0.370954
0.395197,0.395405
0.420584,0.420792
0.446892,0.447099
0.474102,0.474307
0.502191,0.502392
0.53113,0.531326
0.560886,0.561075
0.591423,0.591603
0.622697,0.622868
0.654665,0.654825
0.687276,0.687424
0.720477,0.720613
0.754213,0.754334
0.788423,0.788528
0.823044,0.823134
0.858013,0.858086
0.893263,0.893317
0.928723,0.92876
0.964326,0.964345
1,1
