analytical,simpleexplicit
0,0
0.00584706,-6.60457e+55
0.011741,1.32399e+56
0.0177286,-1.99358e+56
0.0238567,2.67207e+56
0.0301717,-3.36205e+56
0.0367201,4.0658e+56
0.0435481,-4.78524e+56
0.0507012,5.52179e+56
0.058225,-6.27639e+56
0.0661641,7.04937e+56
0.0745628,-7.84045e+56
0.0834646,8.64866e+56
0.0929118,-9.4723e+56
0.102946,1.03089e+57
0.113608,-1.11554e+57
0.124936,1.20076e+57
0.136968,-1.28609e+57
0.14974,1.37098e+57
0.163284,-1.45481e+57
0.177634,1.53689e+57
0.192818,-1.61646e+57
0.208862,1.69273e+57
0.225791,-1.76486e+57
0.243625,1.83196e+57
0.262382,-1.89312e+57
0.282075,1.94745e+57
0.302716,-1.99403e+57
0.324311,2.03198e+57
0.346862,-2.06044e+57
0.370368,2.07861e+57
0.394822,-2.08575e+57
0.420214,2.08121e+57
0.44653,-2.06442e+57
0.47375,2.03493e+57
0.501851,-1.99241e+57
0.530803,1.93665e+57
0.560574,-1.86759e+57
0.591127,1.78531e+57
0.62242,-1.69007e+57
0.654407,1.58224e+57
0.687039,-1.46237e+57
0.720263,1.33117e+57
0.754023,-1.18947e+57
0.788258,1.03825e+57
0.822905,-8.7862e+56
0.857901,7.11798e+56
0.893178,-5.391e+56
0.928667,3.61921e+56
0.964298,-1.81721e+56
1,1
