t=5,t=10,t=20
0,0,0
-3.23276e-54,-6.81208e-31,2.54984e-14
2.63556e-52,9.43045e-30,-1.20843e-13
-1.18497e-50,-1.24905e-28,5.73588e-13
-3.10952e-49,1.5753e-27,-2.61776e-12
1.2177e-46,-1.89099e-26,1.14989e-11
-1.41081e-44,2.15896e-25,-4.85808e-11
1.14274e-42,-2.34192e-24,1.97236e-10
-7.37453e-41,2.41021e-23,-7.68717e-10
3.97832e-39,-2.34883e-22,2.87248e-09
-1.83554e-37,2.16184e-21,-1.02755e-08
7.32446e-36,-1.87233e-20,3.51254e-08
-2.53627e-34,1.51789e-19,-1.14488e-07
7.58616e-33,-1.14267e-18,3.54861e-07
-1.92657e-31,7.88364e-18,-1.04248e-06
3.96506e-30,-4.86617e-17,2.89019e-06
-5.66166e-29,2.54814e-16,-7.51917e-06
6.46088e-29,-9.585e-16,1.82115e-05
3.07062e-26,1.21321e-16,-4.05783e-05
-1.34679e-24,4.4161e-14,8.15641e-05
3.99861e-23,-5.69804e-13,-0.000142451
-9.64533e-22,5.19182e-12,0.000197033
1.99803e-20,-3.97086e-11,-0.00014231
-3.63977e-19,2.68595e-10,-0.000285472
5.89853e-18,-1.64217e-09,0.00160471
-8.55034e-17,9.16776e-09,-0.00459203
1.11042e-15,-4.69464e-08,0.00999209
-1.28997e-14,2.20783e-07,-0.0177055
1.33381e-13,-9.52461e-07,0.0255059
-1.21541e-12,3.75693e-06,-0.0281157
9.57926e-12,-1.34743e-05,0.0184707
-6.28048e-11,4.35629e-05,0.00704427
3.0894e-10,-0.000125268,-0.04059
-6.66605e-10,0.000313328,0.0592858
-7.15785e-09,-0.000653468,-0.0367961
1.17708e-07,0.00102434,-0.0281804
-1.05963e-06,-0.000740393,0.089239
7.19899e-06,-0.0020012,-0.0755835
-3.94672e-05,0.0100373,-0.0296308
0.000177087,-0.0247423,0.129932
-0.000642735,0.0400841,-0.0880876
0.00181127,-0.0380436,-0.0868191
-0.0035405,-0.000861453,0.176922
0.00273766,0.0640341,-0.0149301
0.00961445,-0.0837577,-0.204615
-0.0417204,-0.00272266,0.120616
0.0711116,0.122182,0.190377
-0.0266993,-0.0814232,-0.201788
-0.105853,-0.121239,-0.169513
0.120108,0.143575,0.253954
0.130517,0.13077,0.171439
-0.164113,-0.169692,-0.277364
-0.245621,-0.187626,-0.213208
0.0244711,0.12614,0.26037
0.318948,0.274887,0.293549
0.401357,0.0492009,-0.174414
0.310174,-0.250157,-0.376975
0.178009,-0.29511,-0.00694038
0.0817178,-0.0789196,0.378147
0.0312364,0.190535,0.250964
0.0101978,0.342774,-0.193843
0.00289415,0.348083,-0.399795
0.000723345,0.267066,-0.15922
0.000160812,0.168951,0.233115
3.20532e-05,0.0918751,0.386747
5.76462e-06,0.0440117,0.200688
9.40352e-07,0.018877,-0.126633
1.39739e-07,0.00733429,-0.338749
1.89856e-08,0.00260422,-0.323085
2.36558e-09,0.00085095,-0.136095
2.70998e-10,0.000257324,0.0919529
2.86051e-11,7.23486e-05,0.256803
2.78706e-12,1.8987e-05,0.321285
2.51023e-13,4.66677e-06,0.302538
2.09248e-14,1.07739e-06,0.239372
1.61584e-15,2.34224e-07,0.166569
1.1567e-16,4.80575e-08,0.104486
7.67962e-18,9.32446e-09,0.0600024
4.73e-19,1.71391e-09,0.0318818
2.70275e-20,2.98913e-10,0.0157966
1.43253e-21,4.95352e-11,0.00734235
7.04039e-23,7.81008e-12,0.00321682
3.20648e-24,1.17294e-12,0.00133362
1.35222e-25,1.67973e-13,0.000524889
5.2748e-27,2.29595e-14,0.00019667
1.90081e-28,2.99796e-15,7.03205e-05
6.31775e-30,3.74264e-16,2.4044e-05
1.93316e-31,4.47028e-17,7.87615e-06
5.43362e-33,5.11194e-18,2.4758e-06
1.39927e-34,5.60005e-19,7.47911e-07
3.29139e-36,5.8802e-20,2.17418e-07
7.04657e-38,5.92111e-21,6.08937e-08
1.36736e-39,5.72031e-22,1.64498e-08
2.39311e-41,5.30417e-23,4.29042e-09
3.75571e-43,4.72232e-24,1.08141e-09
5.24891e-45,4.03805e-25,2.63635e-10
6.47852e-47,3.31736e-26,6.22132e-11
6.99056e-49,2.61893e-27,1.42229e-11
6.51234e-51,1.98724e-28,3.14582e-12
5.15602e-53,1.45656e-29,7.0601e-13
0,0,0
