t=5,t=10,t=20
0,0,0
2.23119e-17,1.34827e-10,1.33371e-08
1.24376e-16,3.44673e-10,3.27297e-08
6.89978e-16,7.01284e-10,5.47328e-08
2.95059e-15,1.34327e-09,9.22088e-08
1.39996e-14,2.46357e-09,1.31775e-07
5.07714e-14,4.51723e-09,2.04652e-07
2.11119e-13,7.98157e-09,2.78049e-07
6.77421e-13,1.43212e-08,4.18563e-07
2.50886e-12,2.45648e-08,5.54863e-07
7.30961e-12,4.32508e-08,8.21585e-07
2.44012e-11,7.212e-08,1.07152e-06
6.56654e-11,1.24673e-07,1.56839e-06
1.99436e-10,2.02231e-07,2.01832e-06
5.01636e-10,3.43331e-07,2.92549e-06
1.39664e-09,5.42053e-07,3.71875e-06
3.31157e-09,9.03944e-07,5.3412e-06
8.50511e-09,1.38978e-06,6.70954e-06
1.91308e-08,2.27694e-06,9.55133e-06
4.55643e-08,3.41068e-06,1.18594e-05
9.76903e-08,5.49045e-06,1.67339e-05
2.16748e-07,8.01649e-06,2.05398e-05
4.4457e-07,1.26811e-05,2.87275e-05
9.22495e-07,1.80555e-05,3.48609e-05
1.8152e-06,2.80689e-05,4.83289e-05
3.53477e-06,3.8988e-05,5.79858e-05
6.68724e-06,5.95677e-05,7.96802e-05
1.22577e-05,8.07501e-05,9.45303e-05
2.23331e-05,0.000121255,0.000128751
3.86375e-05,0.00016048,0.000151046
6.78829e-05,0.000236843,0.000203906
0.000111111,0.00030614,0.000236567
0.000188425,0.000444056,0.000316524
0.00029242,0.000560769,0.000363182
0.000478983,0.000799403,0.000481609
0.00070615,0.000986592,0.000546557
0.00111775,0.00138217,0.000718307
0.00156815,0.00166759,0.000806306
0.0023993,0.00229577,0.00105018
0.00320829,0.00270855,0.00116608
0.00474532,0.00366396,0.00150512
0.00605644,0.00422822,0.00165324
0.00865913,0.00561957,0.00211464
0.010562,0.00634483,0.00229788
0.0145942,0.00828408,0.00291253
0.0170323,0.00915325,0.00313118
0.022737,0.0117387,0.00393257
0.0254155,0.0126959,0.00418299
0.0327628,0.0159904,0.00520548
0.0351094,0.0169321,0.00547853
0.0436785,0.0209404,0.00675498
0.04491,0.0217136,0.00703465
0.0538807,0.0263634,0.00859346
0.0531935,0.0267746,0.00885569
0.0614925,0.031908,0.0107175
0.058327,0.0317448,0.0109295
0.0649047,0.0371245,0.0131036
0.0591802,0.0361872,0.0132245
0.063319,0.0415192,0.015706
0.0555231,0.039658,0.0156872
0.0570461,0.0446292,0.0184546
0.0481224,0.0417778,0.018243
0.0474096,0.0461008,0.021257
0.0384827,0.0422993,0.020798
0.036295,0.0457554,0.0240021
0.028351,0.0411541,0.0232442
0.0255518,0.0436246,0.0265665
0.0192067,0.0384672,0.025466
0.0165079,0.0399459,0.0288233
0.0119387,0.0345347,0.0273493
0.00976305,0.0351192,0.0306524
0.00679105,0.0297702,0.028791
0.00527028,0.0296357,0.0319506
0.003524,0.0246336,0.029708
0.00258782,0.0239955,0.0326414
0.00166205,0.0195585,0.0300455
0.00115109,0.0186347,0.0326823
0.000709348,0.0148947,0.0297818
0.000461584,0.0138741,0.0320692
0.000272524,0.0108747,0.028931
0.000165897,0.00989853,0.0308367
9.36593e-05,0.0076082,0.0275414
5.30696e-05,0.00676384,0.0290544
2.85751e-05,0.00509787,0.0256903
1.49827e-05,0.0044241,0.0268201
7.6674e-06,0.0032695,0.0234764
3.69433e-06,0.00276817,0.024249
1.78833e-06,0.00200576,0.0210082
7.8521e-07,0.00165577,0.0214596
3.57184e-07,0.00117617,0.0183898
1.41459e-07,0.000946062,0.0185568
5.99015e-08,0.000658726,0.0157027
2.11252e-08,0.000515875,0.0156068
8.21125e-09,0.00035193,0.0129775
2.53624e-09,0.000267935,0.0125986
8.85055e-10,0.000178623,0.0101463
2.3412e-10,0.000131195,0.00937397
7.06107e-11,8.3648e-05,0.00695567
1.54803e-11,5.54632e-05,0.00549643
3.66644e-12,2.64978e-05,0.00279946
0,0,0
