t=5,t=10,t=20
0,0,0
0,-1.18929e-234,-2.85577e-97
0,-3.40566e-231,-3.31578e-96
0,-9.00255e-228,-3.8144e-95
0,-2.19675e-224,-4.3178e-94
0,-4.9482e-221,-4.81065e-93
0,-1.02888e-217,-5.27635e-92
0,-1.97484e-214,-5.69815e-91
0,-3.49905e-211,-6.06012e-90
0,-5.72294e-208,-6.34817e-89
0,-8.64047e-205,-6.55099e-88
0,-1.20422e-201,-6.66074e-87
0,-1.54926e-198,-6.67361e-86
0,-1.8399e-195,-6.58995e-85
0,-2.01703e-192,-6.41425e-84
0,-2.04119e-189,-6.15469e-83
0,-1.9068e-186,-5.82261e-82
0,-1.6443e-183,-5.43164e-81
0,-1.30891e-180,-4.99682e-80
0,-9.61818e-178,-4.5337e-79
0,-6.5243e-175,-4.05743e-78
0,-4.08541e-172,-3.58204e-77
-6.50289e-320,-2.36157e-169,-3.11982e-76
-1.89524e-315,-1.26018e-166,-2.68094e-75
-5.0987e-311,-6.20779e-164,-2.2732e-74
-1.26622e-306,-2.82305e-161,-1.90202e-73
-2.9028e-302,-1.18519e-158,-1.57055e-72
-6.14298e-298,-4.59355e-156,-1.2799e-71
-1.20004e-293,-1.64367e-153,-1.02947e-70
-2.16406e-289,-5.43001e-151,-8.17325e-70
-3.60245e-285,-1.65622e-148,-6.40532e-69
-5.53582e-281,-4.66434e-146,-4.95535e-68
-7.85274e-277,-1.21293e-143,-3.78457e-67
-1.02829e-272,-2.91259e-141,-2.85355e-66
-1.24298e-268,-6.45888e-139,-2.12422e-65
-1.38697e-264,-1.32283e-136,-1.56126e-64
-1.42865e-260,-2.50245e-134,-1.13298e-63
-1.35844e-256,-4.37312e-132,-8.11807e-63
-1.19236e-252,-7.06067e-130,-5.74355e-62
-9.66118e-249,-1.05342e-127,-4.01246e-61
-7.22614e-245,-1.45258e-125,-2.7679e-60
-4.98927e-241,-1.85167e-123,-1.88541e-59
-3.17995e-237,-2.18269e-121,-1.26816e-58
-1.87093e-233,-2.37989e-119,-8.42293e-58
-1.01613e-229,-2.40114e-117,-5.52416e-57
-5.0944e-226,-2.24264e-115,-3.57751e-56
-2.35771e-222,-1.93995e-113,-2.28771e-55
-1.00726e-218,-1.55509e-111,-1.4445e-54
-3.97229e-215,-1.15594e-109,-9.00576e-54
-1.44609e-211,-7.97332e-108,-5.54364e-53
