t=5,t=10,t=20
0,0,0
0,1.70678e-231,1.52952e-105
0,4.51253e-228,1.07542e-104
0,1.10134e-224,7.00987e-104
0,2.48129e-221,4.48017e-103
0,5.16049e-218,2.81843e-102
0,9.90745e-215,1.74619e-101
0,1.75586e-211,1.06584e-100
0,2.87261e-208,6.4112e-100
0,4.3383e-205,3.80158e-99
0,6.04812e-202,2.22274e-98
0,7.78359e-199,1.28183e-97
0,9.24693e-196,7.29287e-97
0,1.01408e-192,4.09454e-96
0,1.02662e-189,2.2691e-95
0,9.59408e-187,1.24149e-94
0,8.27671e-184,6.7077e-94
0,6.59133e-181,3.57961e-93
0,4.84562e-178,1.88721e-92
0,3.28843e-175,9.83138e-92
0,2.06011e-172,5.06175e-91
3.25243e-320,1.1914e-169,2.57609e-90
9.47848e-316,6.36045e-167,1.29621e-89
2.55001e-311,3.13463e-164,6.44931e-89
6.3329e-307,1.42612e-161,3.17361e-88
1.45184e-302,5.98955e-159,1.54477e-87
3.0725e-298,2.32224e-156,7.43902e-87
6.00236e-294,8.31186e-154,3.54464e-86
1.08245e-289,2.74643e-151,1.67147e-85
1.80198e-285,8.3777e-149,7.80112e-85
2.76917e-281,2.35923e-146,3.60419e-84
3.9283e-277,6.13353e-144,1.64857e-83
5.14418e-273,1.47215e-141,7.46649e-83
6.21848e-269,3.26216e-139,3.34878e-82
6.93919e-265,6.67386e-137,1.48755e-81
7.14809e-261,1.2606e-134,6.54523e-81
6.79716e-257,2.19848e-132,2.85296e-80
5.96653e-253,3.54018e-130,1.23206e-79
4.83473e-249,5.26383e-128,5.27209e-79
3.61642e-245,7.22728e-126,2.2356e-78
2.49714e-241,9.16361e-124,9.39527e-78
1.5917e-237,1.07302e-121,3.91358e-77
9.36567e-234,1.16045e-119,1.61596e-76
5.08711e-230,1.15922e-117,6.61482e-76
2.55071e-226,1.06971e-115,2.6846e-75
1.18061e-222,9.11977e-114,1.08032e-74
5.04439e-219,7.18419e-112,4.31099e-74
1.98961e-215,5.23022e-110,1.70604e-73
7.24408e-212,3.51959e-108,6.69613e-73
2.43476e-208,2.18973e-106,2.60687e-72
7.55412e-205,1.25988e-104,1.00672e-71
2.16356e-201,6.70553e-103,3.85676e-71
5.7202e-198,3.30259e-101,1.46588e-70
1.39608e-194,1.5058e-99,5.52799e-70
3.14532e-191,6.3587e-98,2.06852e-69
6.54149e-188,2.4882e-96,7.68077e-69
1.25587e-184,9.02773e-95,2.83031e-68
2.22572e-181,3.03909e-93,1.03509e-67
3.64127e-178,9.49984e-92,3.75716e-67
5.49911e-175,2.75977e-90,1.35367e-66
7.66636e-172,7.45823e-89,4.84127e-66
9.86605e-169,1.87705e-87,1.71882e-65
1.17207e-165,4.40465e-86,6.05826e-65
1.28536e-162,9.64964e-85,2.12002e-64
1.30122e-159,1.97648e-83,7.36597e-64
1.216e-156,3.7907e-82,2.54122e-63
1.049e-153,6.81867e-81,8.70565e-63
8.35368e-151,1.15234e-79,2.96162e-62
6.14098e-148,1.83294e-78,1.00057e-61
4.16732e-145,2.74917e-77,3.35723e-61
2.61058e-142,3.89558e-76,1.11879e-60
1.50965e-139,5.2251e-75,3.70318e-60
8.05891e-137,6.64675e-74,1.21752e-59
3.97136e-134,8.03439e-73,3.97628e-59
1.80661e-131,9.24591e-72,1.29001e-58
7.5867e-129,1.01486e-70,4.15766e-58
2.94108e-126,1.06442e-69,1.33125e-57
1.05252e-123,1.06863e-68,4.23491e-57
3.4771e-121,1.02868e-67,1.33851e-56
1.06042e-118,9.5099e-67,4.20348e-56
2.98546e-116,8.45641e-66,1.31167e-55
7.75925e-114,7.2435e-65,4.06712e-55
1.86169e-111,5.9851e-64,1.25317e-54
4.12363e-109,4.77673e-63,3.83719e-54
8.43216e-107,3.68699e-62,1.16764e-53
1.59181e-104,2.75557e-61,3.53116e-53
2.77424e-102,1.99636e-60,1.06133e-52
4.46378e-100,1.4035e-59,3.17048e-52
6.63099e-98,9.58456e-59,9.41359e-52
9.09453e-96,6.36397e-58,2.77815e-51
1.15165e-93,4.11215e-57,8.14971e-51
1.34652e-91,2.58799e-56,2.37644e-50
1.4537e-89,1.58766e-55,6.8885e-50
1.44918e-87,9.50132e-55,1.98494e-49
1.33409e-85,5.55073e-54,5.68606e-49
1.13418e-83,3.16776e-53,1.6193e-48
8.90532e-82,1.76713e-52,4.58465e-48
6.45835e-80,9.64195e-52,1.29052e-47
4.32655e-78,5.14861e-51,3.6117e-47
2.67768e-76,2.69205e-50,1.00499e-46
1.5312e-74,1.37902e-49,2.7805e-46
8.09143e-73,6.92417e-49,7.64909e-46
3.95204e-71,3.40939e-48,2.09234e-45
1.78447e-69,1.647e-47,5.69119e-45
7.45069e-68,7.80916e-47,1.53933e-44
2.87743e-66,3.63566e-46,4.14027e-44
1.0282e-64,1.66264e-45,1.1074e-43
3.40078e-63,7.47158e-45,2.94558e-43
1.04159e-61,3.30048e-44,7.79177e-43
2.95562e-60,1.43364e-43,2.0498e-42
7.77467e-59,6.12545e-43,5.36296e-42
1.89705e-57,2.57518e-42,1.39549e-41
4.29694e-56,1.06556e-41,3.61149e-41
9.0424e-55,4.34077e-41,9.29592e-41
1.76952e-53,1.74139e-40,2.37988e-40
3.22348e-52,6.88139e-40,6.06013e-40
5.47254e-51,2.67927e-39,1.53491e-39
8.66948e-50,1.02806e-38,3.8669e-39
1.28331e-48,3.88853e-38,9.69024e-39
1.77763e-47,1.45014e-37,2.41548e-38
2.30785e-46,5.33313e-37,5.98933e-38
2.81287e-45,1.93461e-36,1.47729e-37
3.22422e-44,6.92351e-36,3.62474e-37
3.48185e-43,2.44492e-35,8.84738e-37
3.54902e-42,8.52088e-35,2.14827e-36
3.42082e-41,2.93132e-34,5.18928e-36
3.12386e-40,9.95571e-34,1.24702e-35
2.70773e-39,3.33874e-33,2.98125e-35
2.23188e-38,1.10576e-32,7.09067e-35
1.75257e-37,3.6172e-32,1.67782e-34
1.31335e-36,1.16891e-31,3.94986e-34
9.40873e-36,3.73204e-31,9.25126e-34
6.45409e-35,1.17741e-30,2.1558e-33
4.24595e-34,3.67094e-30,4.99819e-33
2.68289e-33,1.13124e-29,1.15297e-32
1.63056e-32,3.44595e-29,2.64625e-32
9.54485e-32,1.03775e-28,6.04304e-32
5.38833e-31,3.08997e-28,1.37309e-31
2.93711e-30,9.09787e-28,3.10432e-31
1.54762e-29,2.64908e-27,6.98334e-31
7.8915e-29,7.62897e-27,1.56313e-30
3.89805e-28,2.17316e-26,3.48149e-30
1.86701e-27,6.12374e-26,7.71577e-30
8.67866e-27,1.70718e-25,1.70155e-29
3.91864e-26,4.70886e-25,3.73389e-29
1.72007e-25,1.28518e-24,8.15339e-29
7.3454e-25,3.47107e-24,1.77165e-28
3.05389e-24,9.27778e-24,3.83076e-28
1.23695e-23,2.45437e-23,8.2426e-28
4.8842e-23,6.42667e-23,1.7649e-27
1.8812e-22,1.66575e-22,3.76057e-27
7.07168e-22,4.27409e-22,7.97394e-27
2.59592e-21,1.08571e-21,1.6826e-26
9.31021e-21,2.73056e-21,3.53328e-26
3.26389e-20,6.7996e-21,7.38367e-26
1.11896e-19,1.67661e-20,1.53555e-25
3.75307e-19,4.0938e-20,3.17804e-25
1.23203e-18,9.89894e-20,6.54576e-25
3.95994e-18,2.37051e-19,1.34174e-24
1.24665e-17,5.62224e-19,2.7371e-24
3.84536e-17,1.32072e-18,5.55683e-24
1.16254e-16,3.07306e-18,1.12275e-23
3.44577e-16,7.08283e-18,2.25765e-23
1.00162e-15,1.6171e-17,4.5181e-23
2.85611e-15,3.65748e-17,8.99874e-23
7.99123e-15,8.19516e-17,1.78376e-22
2.19446e-14,1.8192e-16,3.51902e-22
5.91583e-14,4.00102e-16,6.90942e-22
1.56594e-13,8.71845e-16,1.3502e-21
4.07091e-13,1.88236e-15,2.62598e-21
1.03957e-12,4.02695e-15,5.08308e-21
2.60819e-12,8.53636e-15,9.79273e-21
6.4302e-12,1.7931e-14,1.8777e-20
1.55804e-11,3.73236e-14,3.58339e-20
3.71083e-11,7.69878e-14,6.80628e-20
8.68881e-11,1.57373e-13,1.2867e-19
2.00036e-10,3.18801e-13,2.42099e-19
4.52861e-10,6.4003e-13,4.53381e-19
1.00829e-09,1.27344e-12,8.4506e-19
2.20808e-09,2.51112e-12,1.56772e-18
4.75661e-09,4.90763e-12,2.89471e-18
1.00803e-08,9.50603e-12,5.31985e-18
2.10175e-08,1.82498e-11,9.73091e-18
4.31173e-08,3.47258e-11,1.77161e-17
8.70396e-08,6.54922e-11,3.21027e-17
1.72904e-07,1.22426e-10,5.79e-17
3.38018e-07,2.26836e-10,1.03939e-16
6.50345e-07,4.16586e-10,1.85712e-16
1.2315e-06,7.58331e-10,3.30268e-16
2.29524e-06,1.36828e-09,5.84597e-16
4.21055e-06,2.44713e-09,1.02994e-15
7.60283e-06,4.33817e-09,1.80606e-15
1.35128e-05,7.62297e-09,3.15222e-15
2.36403e-05,1.32774e-08,5.47603e-15
4.07099e-05,2.29229e-08,9.4685e-15
6.9006e-05,3.92281e-08,1.62953e-14
0.000115135,6.65416e-08,2.7913e-14
0.000189085,1.11881e-07,4.75902e-14
0.000305651,1.86461e-07,8.07594e-14
0.000486297,3.08022e-07,1.36406e-13
0.000761499,5.04355e-07,2.29317e-13
0.00117357,8.18555e-07,3.8371e-13
0.00177994,1.31678e-06,6.39046e-13
0.00265661,2.09956e-06,1.05931e-12
0.00390171,3.31807e-06,1.74774e-12
0.00563837,5.19736e-06,2.87004e-12
0.00801664,8.06885e-06,4.69095e-12
0.0112133,1.24155e-05,7.63117e-12
0.0154291,1.89338e-05,1.2356e-11
0.0208818,2.86168e-05,1.99123e-11
0.0277953,4.28653e-05,3.19389e-11
0.0363831,6.36332e-05,5.09885e-11
0.0468274,9.3615e-05,8.10168e-11
0.0592537,0.000136483,1.28123e-10
0.0737027,0.000197186,2.01665e-10
0.090103,0.000282308,3.15921e-10
0.108246,0.000400507,4.92576e-10
0.127771,0.000563019,7.64381e-10
0.148156,0.000784239,1.18056e-09
0.168727,0.00108236,1.8147e-09
0.18869,0.00148007,2.77624e-09
0.207162,0.00200521,4.22713e-09
0.223242,0.00269147,6.40569e-09
0.236068,0.00357895,9.66085e-09
0.244897,0.00471455,1.45008e-08
0.249172,0.00615213,2.16617e-08
0.248577,0.00795229,3.22045e-08
0.243072,0.0101817,4.76494e-08
0.232908,0.0129119,7.01642e-08
0.218606,0.0162173,1.02822e-07
0.200916,0.0201728,1.49957e-07
0.18075,0.02485,2.17647e-07
0.159104,0.0303137,3.14371e-07
0.136973,0.0366164,4.51889e-07
0.11528,0.0437939,6.46425e-07
0.0948041,0.0518591,9.2023e-07
0.076145,0.0607969,1.30366e-06
0.0596989,0.0705595,1.83788e-06
0.0456625,0.0810618,2.5784e-06
0.0340537,0.0921795,3.59965e-06
0.0247461,0.103747,5.00085e-06
0.0175105,0.115561,6.91346e-06
0.0120568,0.12738,9.51069e-06
0.00807209,0.138937,1.30193e-05
0.00525063,0.14994,1.77345e-05
0.00331547,0.16009,2.40382e-05
0.00203047,0.169091,3.24212e-05
0.00120492,0.176662,4.35108e-05
0.000692131,0.182554,5.81034e-05
0.000384438,0.186562,7.72034e-05
0.000206245,0.188535,0.00010207
0.000106742,0.188386,0.000134269
5.32276e-05,0.186102,0.00017574
2.55391e-05,0.181736,0.000228862
1.17742e-05,0.175418,0.000296537
5.20799e-06,0.167337,0.00038228
2.20673e-06,0.157739,0.000490316
8.94259e-07,0.146913,0.000625684
3.46003e-07,0.135174,0.00079435
1.27598e-07,0.122851,0.00100332
4.47682e-08,0.110267,0.00126077
1.49164e-08,0.0977318,0.00157612
4.71102e-09,0.0855213,0.00196018
1.40769e-09,0.0738739,0.0024252
3.97218e-10,0.0629812,0.00298495
1.05651e-10,0.0529854,0.00365474
2.64398e-11,0.043979,0.00445142
6.21466e-12,0.0360078,0.00539333
1.36969e-12,0.029075,0.00650015
2.82602e-13,0.0231487,0.00779273
5.45043e-14,0.0181686,0.00929283
9.8125e-15,0.0140542,0.0110227
1.64689e-15,0.0107122,0.0130049
2.5738e-16,0.0080433,0.0152613
3.74153e-17,0.00594781,0.0178129
5.05441e-18,0.00433046,0.0206788
6.33968e-19,0.00310343,0.0238757
7.3775e-20,0.00218855,0.027417
7.95986e-21,0.00151825,0.0313115
7.95789e-22,0.00103578,0.0355631
7.36822e-23,0.000694675,0.0401697
6.31544e-24,0.000457862,0.045122
5.00899e-25,0.000296462,0.0504035
3.67497e-26,0.000188503,0.0559892
2.49338e-27,0.000117654,0.0618457
1.56402e-28,7.20534e-05,0.0679304
9.06816e-30,4.32781e-05,0.0741922
4.85892e-31,2.54827e-05,0.0805712
2.40565e-32,1.4702e-05,0.0869998
1.10036e-33,8.30684e-06,0.0934031
4.64944e-35,4.59399e-06,0.0997005
1.8146e-36,2.48538e-06,0.105807
6.54091e-38,1.31456e-06,0.111635
2.17742e-39,6.79332e-07,0.117095
6.69365e-41,3.42771e-07,0.122102
1.90011e-42,1.68749e-07,0.126572
4.98043e-44,8.09968e-08,0.130426
1.20535e-45,3.78742e-08,0.133597
2.6934e-47,1.72387e-08,0.136025
5.5567e-49,7.63078e-09,0.137662
1.05841e-50,3.28193e-09,0.138474
1.86122e-52,1.37012e-09,0.138442
3.02165e-54,5.54624e-10,0.137562
4.52882e-56,2.17456e-10,0.135845
6.26636e-58,8.24835e-11,0.133318
8.00443e-60,3.02307e-11,0.130022
9.43899e-62,1.06917e-11,0.126011
1.02754e-63,3.64386e-12,0.121353
1.03263e-65,1.19499e-12,0.116126
9.57987e-68,3.76525e-13,0.110413
8.20437e-70,1.13803e-13,0.104306
6.48632e-72,3.29398e-14,0.0978985
4.73388e-74,9.11469e-15,0.0912862
3.18933e-76,2.40678e-15,0.0845622
1.98356e-78,6.05342e-16,0.0778162
1.13882e-80,1.44749e-16,0.0711323
6.03563e-83,3.28434e-17,0.0645872
2.95292e-85,7.05759e-18,0.058249
1.33365e-87,1.43352e-18,0.052176
5.56021e-90,2.74701e-19,0.0464166
2.13993e-92,4.95693e-20,0.0410085
7.60266e-95,8.40761e-21,0.035979
2.49339e-97,1.33808e-21,0.0313456
7.54872e-100,1.99491e-22,0.0271164
2.10967e-102,2.78176e-23,0.0232913
5.44268e-105,3.62276e-24,0.0198625
1.29619e-107,4.4005e-25,0.0168163
2.84958e-110,4.97938e-26,0.0141337
5.78298e-113,5.24295e-27,0.0117919
1.08337e-115,5.1318e-28,0.00976538
1.87354e-118,4.66516e-29,0.0080268
2.99091e-121,3.9357e-30,0.00654811
4.4076e-124,3.07913e-31,0.00530128
5.99593e-127,2.23263e-32,0.00425901
7.52953e-130,1.49952e-33,0.00339521
8.72842e-133,9.32455e-35,0.00268551
9.34029e-136,5.36617e-36,0.00210744
9.22659e-139,2.85698e-37,0.00164066
8.41355e-142,1.40676e-38,0.00126703
7.08229e-145,6.40455e-40,0.000970559
5.50332e-148,2.69533e-41,0.00073738
3.94759e-151,1.04834e-42,0.000555594
2.61394e-154,3.76782e-44,0.000415131
1.59778e-157,1.25115e-45,0.000307563
9.01557e-161,3.83797e-47,0.000225927
4.69599e-164,1.08749e-48,0.00016453
2.25796e-167,2.84603e-50,0.000118775
1.00222e-170,6.87875e-52,8.4989e-05
4.10644e-174,1.53534e-53,6.02724e-05
1.55319e-177,3.16448e-55,4.23591e-05
5.42302e-181,6.02256e-57,2.94986e-05
1.74789e-184,1.05833e-58,2.03533e-05
5.20046e-188,1.71715e-60,1.39124e-05
1.42833e-191,2.57233e-62,9.4199e-06
3.62134e-195,3.55769e-64,6.31715e-06
8.47553e-199,4.54279e-66,4.19539e-06
1.83114e-202,5.35526e-68,2.75897e-06
3.65201e-206,5.82821e-70,1.79633e-06
6.72357e-210,5.85573e-72,1.1578e-06
1.14268e-213,5.43141e-74,7.38632e-07
1.79269e-217,4.65078e-76,4.66348e-07
2.59622e-221,3.67636e-78,2.9135e-07
3.47084e-225,2.68277e-80,1.80085e-07
4.28335e-229,1.80726e-82,1.10111e-07
4.87966e-233,1.1239e-84,6.65889e-08
5.13159e-237,6.45215e-87,3.98218e-08
4.98163e-241,3.41937e-89,2.35457e-08
